GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	ZFITTED_BASE	ZRESID_BASE	ensembl_gene_id	gene_symbol	mmusculus_homolog_ensembl_gene
8510	1	1467060	1670030	34	9	457824	0.55997	-0.001049	0.56102	ENSG00000189409	MMP23B	ENSMUSG00000029061
984	1	1471100	1690473	39	10	457824	3.0119	-0.001049	3.013	ENSG00000248333	CDK11B	NA
728661	1	1491486	1724243	42	11	457824	5.0447	-0.001049	5.0457	ENSG00000189339	SLC35E2B	ENSMUSG00000042202
728642	1	1533822	1755999	40	9	457824	5.1224	-0.001049	5.1235	ENSG00000008128	CDK11A	NA
9906	1	1556277	1777438	46	9	457824	4.9653	-0.001049	4.9664	ENSG00000215790	SLC35E2	NA
65220	1	1582671	1811508	56	9	457824	4.7768	-0.001049	4.7778	ENSG00000008130	NADK	ENSMUSG00000029063
2782	1	1616725	1922552	91	12	457824	4.862	-0.001049	4.863	ENSG00000078369	GNB1	ENSMUSG00000029064
163688	1	1746266	1948733	69	11	457824	4.9564	-0.001049	4.9574	ENSG00000169885	CALML6	NA
339456	1	1749029	1950740	69	12	457824	4.9585	-0.001049	4.9595	ENSG00000178821	TMEM52	ENSMUSG00000023153
85452	1	1753390	2035276	95	20	457824	4.8552	-0.001049	4.8563	ENSG00000142609	CFAP74	NA
2563	1	1850768	2062192	78	20	457824	3.1918	-0.001049	3.1929	ENSG00000187730	GABRD	ENSMUSG00000029054
5590	1	1881909	2216834	117	18	457824	-1.3602	-0.001049	-1.3592	ENSG00000067606	PRKCZ	ENSMUSG00000029053
100506504	1	2013250	2215812	87	11	457824	-1.4768	-0.001049	-1.4758	ENSG00000182873	PRKCZ-AS1	NA
199990	1	2015899	2244159	105	15	457824	-1.2075	-0.001049	-1.2065	ENSG00000162585	FAAP20	ENSMUSG00000073684
6497	1	2060134	2341652	135	31	457824	-0.65145	-0.001049	-0.6504	ENSG00000157933	SKI	ENSMUSG00000029050
79906	1	2151719	2423190	124	42	457824	1.5222	-0.001049	1.5233	ENSG00000116151	MORN1	ENSMUSG00000029049
11079	1	2223214	2436883	109	38	457824	2.597	-0.001049	2.598	ENSG00000157916	RER1	ENSMUSG00000029048
5192	1	2236241	2444010	100	34	457824	2.6417	-0.001049	2.6428	ENSG00000157911	PEX10	ENSMUSG00000029047
9651	1	2307754	2536964	105	23	457824	4.5617	-0.001049	4.5627	ENSG00000276429	NA	NA
55229	1	2339975	2558061	94	16	457824	4.2897	-0.001049	4.2908	ENSG00000273494	NA	NA
388585	1	2360184	2561684	86	14	457824	4.2362	-0.001049	4.2372	ENSG00000273529	NA	NA
8764	1	2387291	2595268	77	11	457824	4.0402	-0.001049	4.0412	ENSG00000273936	NA	NA
127281	1	2417899	2622908	69	9	457824	3.8505	-0.001049	3.8515	ENSG00000157870	FAM213B	ENSMUSG00000029059
79258	1	2422078	2664499	66	8	457824	3.8158	-0.001049	3.8169	ENSG00000142606	MMEL1	ENSMUSG00000058183
100287898	1	2472807	2806230	63	8	457824	3.7416	-0.001049	3.7427	ENSG00000215912	TTC34	ENSMUSG00000046637
140625	1	2838046	3039467	77	16	457824	-0.28183	-0.001049	-0.28078	ENSG00000169717	ACTRT2	ENSMUSG00000051276
63976	1	2885565	3455185	251	73	457824	-1.7782	-0.001049	-1.7771	ENSG00000142611	PRDM16	ENSMUSG00000039410
27237	1	3271147	3497677	98	30	457824	-1.1293	-0.001049	-1.1282	ENSG00000130762	ARHGEF16	ENSMUSG00000029032
1953	1	3304506	3628059	135	46	457824	-0.24444	-0.001049	-0.24339	ENSG00000162591	MEGF6	ENSMUSG00000057751
127262	1	3441556	3646695	90	37	457824	-0.038557	-0.001049	-0.037508	ENSG00000158109	TPRG1L	ENSMUSG00000029030
49856	1	3447331	3666671	102	40	457824	-0.13283	-0.001049	-0.13178	ENSG00000116213	WRAP73	ENSMUSG00000029029
7161	1	3469129	3752765	147	47	457824	-0.57087	-0.001049	-0.56982	ENSG00000078900	TP73	ENSMUSG00000029026
148870	1	3568965	3788209	127	30	457824	-1.3538	-0.001049	-1.3528	ENSG00000162592	CCDC27	ENSMUSG00000039492
388588	1	3589352	3792546	112	25	457824	-1.7204	-0.001049	-1.7193	ENSG00000235169	SMIM1	ENSMUSG00000078350
57470	1	3596784	3813068	123	28	457824	-1.4987	-0.001049	-1.4977	ENSG00000130764	LRRC47	ENSMUSG00000029028
9731	1	3628645	3873797	124	28	457824	-1.4291	-0.001049	-1.4281	ENSG00000116198	CEP104	ENSMUSG00000039523
1677	1	3673845	3901993	94	19	457824	-1.3213	-0.001049	-1.3203	ENSG00000169598	DFFB	ENSMUSG00000029027
339448	1	3705697	3916857	72	15	457824	-1.7015	-0.001049	-1.7005	ENSG00000198912	C1orf174	ENSMUSG00000047613
55966	1	4615105	4943851	242	71	457824	-0.74719	-0.001049	-0.74615	ENSG00000196581	AJAP1	ENSMUSG00000039546
261734	1	5822870	6152618	160	29	457824	-2.7369	-0.001049	-2.7359	ENSG00000131697	NPHP4	ENSMUSG00000039577
8514	1	5952358	6261253	141	33	457824	-2.5064	-0.001049	-2.5054	ENSG00000069424	KCNAB2	ENSMUSG00000028931
26038	1	6061847	6340194	121	34	457824	0.31786	-0.001049	0.3189	ENSG00000116254	CHD5	ENSMUSG00000005045
6146	1	6145080	6359679	100	27	457824	0.26426	-0.001049	0.26531	ENSG00000116251	RPL22	ENSMUSG00000028936
388591	1	6166189	6381359	99	27	457824	0.3325	-0.001049	0.33355	ENSG00000158286	RNF207	ENSMUSG00000058498
23463	1	6181253	6396044	99	26	457824	0.46774	-0.001049	0.46879	ENSG00000116237	ICMT	ENSMUSG00000039662
390992	1	6204252	6405638	86	22	457824	0.65891	-0.001049	0.65996	ENSG00000173673	HES3	ENSMUSG00000028946
387509	1	6207406	6421035	90	20	457824	0.44489	-0.001049	0.44594	ENSG00000158292	GPR153	ENSMUSG00000042804
11332	1	6224332	6553826	118	22	457824	-0.3697	-0.001049	-0.36865	ENSG00000097021	ACOT7	ENSMUSG00000028937
54626	1	6375292	6584724	71	13	457824	0.093802	-0.001049	0.09485	ENSG00000069812	HES2	ENSMUSG00000028940
83715	1	6384836	6621004	77	14	457824	0.73795	-0.001049	0.739	ENSG00000187017	ESPN	ENSMUSG00000028943
8718	1	6420787	6627432	62	12	457824	1.4018	-0.001049	1.4028	ENSG00000215788	TNFRSF25	ENSMUSG00000024793
57449	1	6426152	6680121	83	18	457824	3.2874	-0.001049	3.2884	ENSG00000171680	PLEKHG5	ENSMUSG00000039713
79707	1	6481407	6714658	95	19	457824	3.9294	-0.001049	3.9304	ENSG00000162408	NOL9	ENSMUSG00000028948
80835	1	6514987	6739817	93	16	457824	4.1486	-0.001049	4.1496	ENSG00000173662	TAS1R1	ENSMUSG00000028950
3104	1	6540051	6749340	87	14	457824	4.099	-0.001049	4.1	ENSG00000204859	ZBTB48	ENSMUSG00000028952
9903	1	6550784	6762958	88	13	457824	3.9694	-0.001049	3.9704	ENSG00000162413	KLHL21	ENSMUSG00000073700
148479	1	6573756	6784093	94	13	457824	3.6192	-0.001049	3.6203	ENSG00000116273	PHF13	ENSMUSG00000047777
90326	1	6584925	6795646	90	12	457824	3.52	-0.001049	3.5211	ENSG00000041988	THAP3	ENSMUSG00000039759
55735	1	6594228	6861966	109	17	457824	3.4385	-0.001049	3.4396	ENSG00000007923	DNAJC11	ENSMUSG00000039768
23261	1	6745384	7929766	590	116	457824	2.9689	-0.001049	2.9699	ENSG00000171735	CAMTA1	ENSMUSG00000014592
9341	1	7731329	7941492	106	22	457824	2.1536	-0.001049	2.1546	ENSG00000049245	VAMP3	ENSMUSG00000028955
8863	1	7744413	8005241	125	26	457824	1.6359	-0.001049	1.6369	ENSG00000049246	PER3	ENSMUSG00000028957
10911	1	7807672	8013551	111	23	457824	1.1481	-0.001049	1.1491	ENSG00000049247	UTS2	ENSMUSG00000028963
3604	1	7875931	8103225	94	21	457824	0.93747	-0.001049	0.93852	ENSG00000049249	TNFRSF9	ENSMUSG00000028965
11315	1	7921714	8145342	71	14	457824	0.30571	-0.001049	0.30676	ENSG00000116288	PARK7	ENSMUSG00000028964
54206	1	7971779	8186393	65	9	457824	0.64069	-0.001049	0.64174	ENSG00000116285	ERRFI1	ENSMUSG00000028967
50651	1	8278171	8504227	76	17	457824	0.388	-0.001049	0.38905	ENSG00000162426	SLC45A1	ENSMUSG00000039838
473	1	8312464	8977699	181	21	457824	1.9296	-0.001049	1.9307	ENSG00000142599	RERE	ENSMUSG00000039852
2023	1	8821059	9039151	98	24	457824	1.0023	-0.001049	1.0033	ENSG00000074800	ENO1	NA
765	1	8905893	9135151	127	41	457824	-0.87601	-0.001049	-0.87496	ENSG00000131686	CA6	ENSMUSG00000028972
155184	1	8963359	9186404	128	41	457824	-0.8379	-0.001049	-0.83685	ENSG00000197241	SLC2A7	ENSMUSG00000062064
6518	1	8997005	9231763	126	40	457824	-1.3442	-0.001049	-1.3432	ENSG00000142583	SLC2A5	ENSMUSG00000028976
80045	1	9063472	9289229	100	28	457824	-1.3434	-0.001049	-1.3423	ENSG00000180758	GPR157	ENSMUSG00000047875
9563	1	9194822	9431396	122	42	457824	-0.5481	-0.001049	-0.54706	ENSG00000049239	H6PD	ENSMUSG00000028980
80176	1	9235202	9529591	151	52	457824	-0.54875	-0.001049	-0.5477	ENSG00000171621	SPSB1	ENSMUSG00000039911
84275	1	9499528	9742831	76	16	457824	-0.021685	-0.001049	-0.020636	ENSG00000171612	SLC25A33	ENSMUSG00000028982
199953	1	9548932	9774935	62	11	457824	-0.029627	-0.001049	-0.028578	ENSG00000188807	TMEM201	ENSMUSG00000044700
5293	1	9611789	9889172	84	15	457824	0.69424	-0.001049	0.69528	ENSG00000171608	PIK3CD	ENSMUSG00000039936
22883	1	9689079	9984550	73	15	457824	0.7497	-0.001049	0.75075	ENSG00000171603	CLSTN1	ENSMUSG00000039953
56998	1	9808334	10070316	58	13	457824	1.6014	-0.001049	1.6024	ENSG00000178585	CTNNBIP1	ENSMUSG00000028988
84328	1	9882168	10103460	45	11	457824	1.4162	-0.001049	1.4172	ENSG00000162441	LZIC	ENSMUSG00000028990
64802	1	9903486	10145556	40	9	457824	0.93404	-0.001049	0.93509	ENSG00000173614	NMNAT1	ENSMUSG00000028992
116362	1	9957255	10176078	35	7	457824	0.81318	-0.001049	0.81423	ENSG00000162444	RBP7	ENSMUSG00000028996
10277	1	9993041	10341297	87	15	457824	1.3277	-0.001049	1.3287	ENSG00000130939	UBE4B	ENSMUSG00000028960
23095	1	10170606	10541664	143	14	457824	-0.1795	-0.001049	-0.17845	ENSG00000054523	KIF1B	ENSMUSG00000063077
5226	1	10358884	10580565	100	12	457824	-1.224	-0.001049	-1.2229	ENSG00000142657	PGD	ENSMUSG00000028961
378708	1	10389944	10610239	107	14	457824	-1.5668	-0.001049	-1.5658	ENSG00000175279	CENPS	NA
100526739	1	10390159	10612060	109	14	457824	-1.5847	-0.001049	-1.5836	ENSG00000251503	CENPS-CORT	NA
1325	1	10409776	10612060	101	13	457824	-1.6652	-0.001049	-1.6641	ENSG00000241563	CORT	ENSMUSG00000028971
1676	1	10420588	10632613	106	13	457824	-1.8986	-0.001049	-1.8976	ENSG00000160049	DFFA	ENSMUSG00000028974
5195	1	10435003	10790815	157	26	457824	0.043188	-0.001049	0.044237	ENSG00000142655	PEX14	ENSMUSG00000028975
54897	1	10596661	10956733	149	47	457824	2.8797	-0.001049	2.8807	ENSG00000130940	CASZ1	ENSMUSG00000028977
148345	1	10906530	11142094	104	27	457824	3.6889	-0.001049	3.69	ENSG00000175262	C1orf127	ENSMUSG00000070577
23435	1	10972462	11185549	76	16	457824	3.993	-0.001049	3.9941	ENSG00000120948	TARDBP	ENSMUSG00000041459
10747	1	10986580	11207296	71	13	457824	4.2203	-0.001049	4.2213	ENSG00000009724	MASP2	ENSMUSG00000028979
6723	1	11014649	11220091	53	8	457824	4.3292	-0.001049	4.3303	ENSG00000116649	SRM	ENSMUSG00000006442
5394	1	11026675	11259961	47	5	457824	4.3722	-0.001049	4.3733	ENSG00000171824	EXOSC10	ENSMUSG00000017264
2475	1	11066588	11422614	87	8	457824	4.2211	-0.001049	4.2222	ENSG00000198793	MTOR	ENSMUSG00000028991
10218	1	11149346	11356038	41	4	457824	4.3384	-0.001049	4.3395	ENSG00000171819	ANGPTL7	ENSMUSG00000028989
29914	1	11233255	11448491	62	9	457824	3.4764	-0.001049	3.4775	ENSG00000120942	UBIAD1	ENSMUSG00000047719
57540	1	11439295	11697640	108	21	457824	-3.2783	-0.001049	-3.2773	ENSG00000204624	DISP3	ENSMUSG00000041544
26232	1	11607924	11814888	94	32	457824	-2.4059	-0.001049	-2.4049	ENSG00000116661	FBXO2	ENSMUSG00000041556
93611	1	11614432	11823384	92	32	457824	-2.3724	-0.001049	-2.3713	ENSG00000132879	FBXO44	ENSMUSG00000029001
26270	1	11624150	11834411	95	33	457824	-2.0613	-0.001049	-2.0602	ENSG00000116663	FBXO6	ENSMUSG00000055401
10459	1	11634537	11851678	106	34	457824	-0.99859	-0.001049	-0.99754	ENSG00000116670	MAD2L2	ENSMUSG00000029003
374946	1	11651781	11880336	135	33	457824	0.87545	-0.001049	0.87649	ENSG00000162490	DRAXIN	ENSMUSG00000029005
57085	1	11696142	11910828	145	30	457824	1.4194	-0.001049	1.4204	ENSG00000177674	AGTRAP	ENSMUSG00000029007
284498	1	11723827	11949642	149	28	457824	1.8504	-0.001049	1.8515	ENSG00000215910	C1orf167	NA
4524	1	11745787	11966160	144	26	457824	1.9203	-0.001049	1.9214	ENSG00000177000	MTHFR	ENSMUSG00000029009
1185	1	11766153	12003201	147	26	457824	2.1293	-0.001049	2.1304	ENSG00000011021	CLCN6	ENSMUSG00000029016
4878	1	11805766	12007840	135	22	457824	2.1967	-0.001049	2.1978	ENSG00000175206	NPPA	ENSMUSG00000041616
4879	1	11817521	12018992	135	21	457824	2.4254	-0.001049	2.4264	ENSG00000120937	NPPB	NA
90231	1	11879645	12086485	118	22	457824	2.0789	-0.001049	2.0799	ENSG00000116685	KIAA2013	ENSMUSG00000044496
5351	1	11894724	12135599	123	24	457824	1.6423	-0.001049	1.6434	ENSG00000083444	PLOD1	ENSMUSG00000019055
9927	1	11940238	12173572	99	19	457824	0.71285	-0.001049	0.7139	ENSG00000116688	MFN2	ENSMUSG00000029020
60672	1	11979299	12192106	97	22	457824	0.71291	-0.001049	0.71396	ENSG00000116691	MIIP	ENSMUSG00000029022
943	1	12023434	12304264	121	36	457824	-1.964	-0.001049	-1.9629	ENSG00000120949	TNFRSF8	ENSMUSG00000028602
7133	1	12127044	12369279	91	35	457824	-2.4852	-0.001049	-2.4841	ENSG00000028137	TNFRSF1B	ENSMUSG00000028599
55187	1	12190101	12672099	160	42	457824	-2.1766	-0.001049	-2.1755	ENSG00000048707	VPS13D	ENSMUSG00000020220
9249	1	12527939	12777820	94	30	457824	-0.41163	-0.001049	-0.41058	ENSG00000162496	DHRS3	ENSMUSG00000066026
343066	1	12604566	12827097	105	25	457824	-1.3418	-0.001049	-1.3408	ENSG00000204518	AADACL4	NA
126767	1	12676118	12888726	73	14	457824	-1.4566	-0.001049	-1.4556	ENSG00000188984	AADACL3	ENSMUSG00000078507
93190	1	12706163	12921102	63	11	457824	-1.5973	-0.001049	-1.5963	ENSG00000157330	C1orf158	ENSMUSG00000028589
390999	1	12734984	12938049	54	9	457824	-2.0529	-0.001049	-2.0518	ENSG00000116726	PRAMEF12	NA
65121	1	12751546	12956777	51	8	457824	-2.351	-0.001049	-2.3499	ENSG00000116721	PRAMEF1	NA
440560	1	12784468	12991264	36	5	457824	-2.2448	-0.001049	-2.2438	ENSG00000239810	PRAMEF11	NA
343069	1	12807261	13008578	18	6	457824	-1.3803	-0.001049	-1.3792	ENSG00000179172	HNRNPCL1	ENSMUSG00000060373
65122	1	12816941	13021764	14	4	457824	-1.3872	-0.001049	-1.3862	ENSG00000120952	PRAMEF2	NA
400735	1	12839033	13046025	4	2	457824	0.062229	-0.001049	0.063278	ENSG00000243073	PRAMEF4	NA
343071	1	12852727	13058094	4	2	457824	0.062229	-0.001049	0.063278	ENSG00000187545	PRAMEF10	NA
441871	1	12876467	13080300	3	1	457824	0.23726	-0.001049	0.23831	ENSG00000204510	PRAMEF7	NA
440561	1	12898302	13107406	3	1	457824	0.23726	-0.001049	0.23831	ENSG00000232423	PRAMEF6	NA
441873	1	13040447	13245000	1	1	457824	-2.1917	-0.001049	-2.1906	ENSG00000276299	NA	NA
440563	1	13082960	13284326	1	1	457824	-2.1917	-0.001049	-2.1906	ENSG00000274109	NA	NA
645359	1	13116688	13319898	1	1	457824	-2.1917	-0.001049	-2.1906	NA	NA	NA
645414	1	13594889	13798405	16	6	457824	-1.1079	-0.001049	-1.1069	ENSG00000204480	PRAMEF19	NA
391004	1	13616088	13819064	36	10	457824	-1.6511	-0.001049	-1.6501	ENSG00000204479	PRAMEF17	NA
645425	1	13636907	13847803	58	19	457824	-1.7245	-0.001049	-1.7234	ENSG00000204478	PRAMEF20	NA
126755	1	13701445	13940242	117	37	457824	-2.9658	-0.001049	-2.9647	ENSG00000162494	LRRC38	ENSMUSG00000028584
10630	1	13810252	14044452	131	41	457824	-1.5349	-0.001049	-1.5339	ENSG00000162493	PDPN	ENSMUSG00000028583
7799	1	13926714	14251574	177	46	457824	0.55115	-0.001049	0.55219	ENSG00000116731	PRDM2	ENSMUSG00000057637
23254	1	14119646	15544544	912	202	457824	-1.2235	-0.001049	-1.2224	ENSG00000189337	KAZN	ENSMUSG00000040606
55092	1	15379028	15646974	185	43	457824	-0.37492	-0.001049	-0.37387	ENSG00000171729	TMEM51	ENSMUSG00000040616
727684	1	15390692	15598120	158	36	457824	-0.076844	-0.001049	-0.075795	NA	NA	NA
114827	1	15473730	15824767	213	56	457824	0.20176	-0.001049	0.20281	ENSG00000142621	FHAD1	ENSMUSG00000051435
79180	1	15636391	15856839	98	26	457824	1.7667	-0.001049	1.7678	ENSG00000142634	EFHD2	ENSMUSG00000040659
11330	1	15664938	15873153	93	22	457824	1.8212	-0.001049	1.8222	ENSG00000162438	CTRC	ENSMUSG00000062478
63036	1	15683223	15898586	92	18	457824	2.0697	-0.001049	2.0707	ENSG00000142615	CELA2A	NA
51032	1	15702596	15917895	87	15	457824	2.0025	-0.001049	2.0035	ENSG00000215704	CELA2B	NA
842	1	15717896	15951407	89	14	457824	2.1182	-0.001049	2.1193	ENSG00000132906	CASP9	ENSMUSG00000028914
23341	1	15753343	15998228	84	10	457824	2.1415	-0.001049	2.1426	ENSG00000116138	DNAJC16	ENSMUSG00000040697
79814	1	15798194	16011605	69	6	457824	2.0332	-0.001049	2.0342	ENSG00000116771	AGMAT	ENSMUSG00000040706
84301	1	15843953	16095539	88	10	457824	1.6471	-0.001049	1.6482	ENSG00000197312	DDI2	ENSMUSG00000078515
6248	1	15886364	16088217	70	8	457824	1.4861	-0.001049	1.4872	ENSG00000215695	RSC1A1	ENSMUSG00000040715
23207	1	15910632	16161264	88	14	457824	1.7674	-0.001049	1.7684	ENSG00000116786	PLEKHM2	ENSMUSG00000028917
284723	1	15962721	16167884	84	16	457824	1.7836	-0.001049	1.7847	ENSG00000162461	SLC25A34	ENSMUSG00000040740
388595	1	15968987	16174292	83	16	457824	1.7726	-0.001049	1.7737	ENSG00000162460	TMEM82	ENSMUSG00000043085
54751	1	15983107	16213089	94	19	457824	1.89	-0.001049	1.8911	ENSG00000162458	FBLIM1	ENSMUSG00000006219
440567	1	16033657	16234194	81	19	457824	1.752	-0.001049	1.753	ENSG00000233954	UQCRHL	NA
23013	1	16074359	16366951	134	20	457824	0.76206	-0.001049	0.76311	ENSG00000065526	SPEN	ENSMUSG00000040761
7709	1	16168364	16402627	111	16	457824	0.47924	-0.001049	0.48029	ENSG00000116809	ZBTB17	ENSMUSG00000006215
101928566	1	16202626	16423701	106	17	457824	0.45757	-0.001049	0.45862000000000003	NA	NA	NA
149563	1	16230731	16433184	98	17	457824	0.47228	-0.001049	0.47333	ENSG00000183888	C1orf64	ENSMUSG00000070637
27129	1	16240523	16446084	100	17	457824	0.45664	-0.001049	0.45768	ENSG00000173641	HSPB7	ENSMUSG00000006221
1187	1	16248486	16460548	109	21	457824	0.51613	-0.001049	0.51718	ENSG00000186510	CLCNKA	NA
1188	1	16270231	16483821	112	25	457824	0.41537	-0.001049	0.41641	ENSG00000184908	CLCNKB	NA
348487	1	16284264	16500127	119	27	457824	0.23836	-0.001049	0.23941	ENSG00000185519	FAM131C	ENSMUSG00000006218
1969	1	16350832	16582582	110	22	457824	-0.35729	-0.001049	-0.35624	ENSG00000142627	EPHA2	ENSMUSG00000006445
128272	1	16424599	16639104	101	15	457824	-0.083185	-0.001049	-0.082136	ENSG00000142632	ARHGEF19	ENSMUSG00000028919
101927546	1	16451343	16653528	98	14	457824	0.03127	-0.001049	0.032319	NA	NA	NA
79363	1	16458182	16663659	95	13	457824	-0.010725	-0.001049	-0.0096764	ENSG00000132881	RSG1	ENSMUSG00000073733
54455	1	16473339	16778965	114	15	457824	0.3124	-0.001049	0.31345	ENSG00000037637	FBXO42	ENSMUSG00000028920
26099	1	16593525	16824643	69	12	457824	1.6188	-0.001049	1.6199	ENSG00000055070	SZRD1	ENSMUSG00000040842
374955	1	16622101	16863919	59	13	457824	2.5187	-0.001049	2.5198	ENSG00000187144	SPATA21	ENSMUSG00000045004
55707	1	16667167	16886585	48	11	457824	2.6802	-0.001049	2.6812	ENSG00000157191	NECAP2	ENSMUSG00000028923
100133301	1	16765561	16966198	24	5	457824	2.5455	-0.001049	2.5465	NA	NA	NA
55672	1	16788922	17040100	14	4	457824	3.2151	-0.001049	3.2161	ENSG00000219481	NBPF1	NA
9696	1	17148445	17399474	83	13	457824	3.3887	-0.001049	3.3897	ENSG00000058453	CROCC	ENSMUSG00000040860
4237	1	17200997	17408081	95	13	457824	3.2493	-0.001049	3.2504	ENSG00000117122	MFAP2	ENSMUSG00000060572
23400	1	17212453	17438467	115	14	457824	3.1558	-0.001049	3.1569	ENSG00000159363	ATP13A2	ENSMUSG00000036622
6390	1	17245217	17480665	124	16	457824	3.1327	-0.001049	3.1338	ENSG00000117118	SDHB	ENSMUSG00000009863
11240	1	17293256	17545948	155	23	457824	2.8559	-0.001049	2.8569	ENSG00000117115	PADI2	ENSMUSG00000028927
29943	1	17431621	17672501	146	33	457824	-3.2008	-0.001049	-3.1997	ENSG00000142623	PADI1	ENSMUSG00000025329
51702	1	17475593	17710728	161	38	457824	-2.631	-0.001049	-2.63	ENSG00000142619	PADI3	ENSMUSG00000025328
23569	1	17534690	17790495	170	37	457824	-1.6912	-0.001049	-1.6901	ENSG00000159339	PADI4	ENSMUSG00000025330
