rsID	ID_nearest_gene_snpsnap_protein_coding	HGNC_nearest_gene_snpsnap_protein_coding	flag_snp_within_gene_protein_coding	ID_genes_in_matched_locus	loci_upstream	loci_downstream	snpID
rs12940622	ENSG00000141564	RPTOR	TRUE	ENSG00000141564;ENSG00000232083	78558411	78757626	17:78615571
rs7164727	ENSG00000159322	ADPGK	FALSE	ENSG00000159322;ENSG00000260898;ENSG00000261281;ENSG00000140463;ENSG00000175202	72970111	73106615	15:73093991
rs11847697	ENSG00000184304	PRKD1	TRUE	ENSG00000257904;ENSG00000248975;ENSG00000184304;ENSG00000240201	30430683	30541109	14:30515112
rs4740619	ENSG00000164989	CCDC171	TRUE	ENSG00000231376;ENSG00000207433;ENSG00000207360;ENSG00000164989	15529852	16053793	9:15634326
rs492400	ENSG00000135913	USP37	TRUE	ENSG00000144580;ENSG00000135913;ENSG00000135912;ENSG00000222714;ENSG00000273466;ENSG00000252805;ENSG00000115568;ENSG00000115556;ENSG00000207393;ENSG00000074582;ENSG00000135929;ENSG00000127831;ENSG00000163482;ENSG00000163481	219271530	219675067	2:219349752
rs13191362	ENSG00000185345	PARK2	TRUE	ENSG00000227913;ENSG00000185345;ENSG00000112530	162934351	163266793	6:163033350
rs3736485	ENSG00000104093	DMXL2	TRUE	ENSG00000263437;ENSG00000104093;ENSG00000104112;ENSG00000259296;ENSG00000259668;ENSG00000259241;ENSG00000259678	51709536	52004250	15:51748610
rs17001654	ENSG00000138760	SCARB2	TRUE	ENSG00000138750;ENSG00000138760;ENSG00000156219	77028450	77129568	4:77129568
rs11191560	ENSG00000076685	NT5C2	TRUE	ENSG00000148798;ENSG00000166275;ENSG00000235376;ENSG00000229256;ENSG00000148842;ENSG00000076685;ENSG00000237827;ENSG00000203886;ENSG00000166272;ENSG00000235266;ENSG00000270316;ENSG00000213061;ENSG00000213277;ENSG00000148795;ENSG00000252994;ENSG00000214435;ENSG00000236937;ENSG00000201080;ENSG00000272912	104504564	105059896	10:104869038
rs2080454	ENSG00000102924	CBLN1	FALSE		49034109	49094077	16:49062590
rs7715256	ENSG00000037749	MFAP3	TRUE	ENSG00000037749	153495768	153564678	5:153537893
rs2176040	ENSG00000169047	IRS1	FALSE	ENSG00000235070	227020653	227181683	2:227092802
rs1528435	ENSG00000170035	UBE2E3	FALSE	ENSG00000264976;ENSG00000225258	181436641	181618654	2:181550962
rs2075650	ENSG00000130204	TOMM40	TRUE	ENSG00000130204;ENSG00000267282;ENSG00000130202;ENSG00000130203	45386467	45415935	19:45395619
rs1000940	ENSG00000108559	NUP88	TRUE	ENSG00000263220;ENSG00000263272;ENSG00000029725;ENSG00000129197;ENSG00000108559;ENSG00000108561	5189616	5340813	17:5283252
rs11583200	ENSG00000162374	ELAVL4	TRUE	ENSG00000221746;ENSG00000230114;ENSG00000215887;ENSG00000239144;ENSG00000229846;ENSG00000186094;ENSG00000225623;ENSG00000230828;ENSG00000162374;ENSG00000233595;ENSG00000227839;ENSG00000237478	49560537	50588665	1:50559820
rs7239883	ENSG00000152214	RIT2	FALSE	ENSG00000267586	40063124	40173214	18:40147671
rs2836754	ENSG00000157557	ETS2	FALSE	ENSG00000205622	40289167	40315316	21:40291740
rs9400239	ENSG00000118689	FOXO3	TRUE	ENSG00000228976;ENSG00000271608;ENSG00000118689	108861264	109020332	6:108977663
rs10733682	ENSG00000136944	LMX1B	TRUE	ENSG00000269909;ENSG00000136944	129428677	129467340	9:129460914
rs11688816	ENSG00000115504	EHBP1	TRUE	ENSG00000231609;ENSG00000226622;ENSG00000252436;ENSG00000115507;ENSG00000115504;ENSG00000226605;ENSG00000237162	62848319	63282567	2:63053048
rs11057405	ENSG00000130779	CLIP1	TRUE	ENSG00000252192;ENSG00000257097;ENSG00000130779;ENSG00000184445;ENSG00000111011;ENSG00000256304;ENSG00000214760;ENSG00000033030	122781897	123024476	12:122781897
rs9914578	ENSG00000070366	SMG6	TRUE	ENSG00000070366;ENSG00000262810	2001657	2024923	17:2005136
rs977747	ENSG00000162367	TAL1	TRUE	ENSG00000226252;ENSG00000162366;ENSG00000162367	47648377	47709201	1:47684677
rs2121279	ENSG00000168702	LRP1B	FALSE	ENSG00000244125;ENSG00000168702	142810801	143048802	2:143043285
rs29941	ENSG00000153885	KCTD15	FALSE	ENSG00000153885	34299851	34322137	19:34309532
rs11727676	ENSG00000164161	HHIP	TRUE	ENSG00000164161;ENSG00000164162;ENSG00000164163;ENSG00000164164;ENSG00000222594;ENSG00000238713;ENSG00000250406;ENSG00000249193;ENSG00000251452	145621328	146087979	4:145659064
rs3849570	ENSG00000114480	GBE1	TRUE	ENSG00000222389;ENSG00000242009;ENSG00000114480;ENSG00000241319;ENSG00000242190;ENSG00000240404	81502655	82016449	3:81792112
rs9374842	ENSG00000111885	MAN1A1	FALSE		119930915	120266038	6:120185665
rs6477694	ENSG00000260230	FRRS1L	FALSE	ENSG00000095203;ENSG00000200106	111932342	111958746	9:111932342
rs4787491	ENSG00000169592	INO80E	TRUE	ENSG00000174943;ENSG00000169592;ENSG00000149932;ENSG00000149930;ENSG00000247735;ENSG00000149929;ENSG00000149923;ENSG00000149922;ENSG00000149925;ENSG00000149927;ENSG00000149926;ENSG00000102886;ENSG00000090238;ENSG00000167194;ENSG00000174939;ENSG00000260114;ENSG00000250616	29923510	30118345	16:30015337
rs1441264	ENSG00000152193	RNF219	FALSE		79580674	79594608	13:79580919
rs7899106	ENSG00000182771	GRID1	TRUE	ENSG00000234942;ENSG00000236606;ENSG00000182771;ENSG00000270002;ENSG00000252292	87339257	87654202	10:87410904
rs2176598	ENSG00000149084	HSD17B12	TRUE	ENSG00000149084;ENSG00000246250;ENSG00000254512;ENSG00000243721	43690717	43878534	11:43864278
rs2245368	ENSG00000243566	UPK3B	TRUE	ENSG00000231183;ENSG00000237815;ENSG00000186645;ENSG00000265479;ENSG00000201959;ENSG00000243566;ENSG00000225703;ENSG00000259628;ENSG00000205482;ENSG00000225726;ENSG00000241350;ENSG00000186704;ENSG00000214439;ENSG00000201885;ENSG00000233448;ENSG00000236280;ENSG00000242435;ENSG00000231087	76517422	76731008	7:76608143
rs17203016	ENSG00000118260	CREB1	FALSE	ENSG00000223725	208219840	208300941	2:208255518
rs17724992	ENSG00000130517	PGPEP1	TRUE	ENSG00000130517	18449238	18474892	19:18454825
rs7243357	ENSG00000134443	GRP	FALSE	ENSG00000134443	56876228	56887507	18:56883319
rs16907751	ENSG00000205189	ZBTB10	FALSE	ENSG00000251867;ENSG00000205189	81348770	81440788	8:81375457
rs1808579	ENSG00000141452	C18orf8	TRUE	ENSG00000141458;ENSG00000141452;ENSG00000199366	21075441	21165409	18:21104888
rs13201877	ENSG00000027697	IFNGR1	FALSE		137614546	137675541	6:137675541
rs2033732	ENSG00000184672	RALYL	FALSE	ENSG00000184672;ENSG00000253362;ENSG00000254195	85053060	85097067	8:85079709
rs9540493	ENSG00000184226	PCDH9	FALSE		66202811	66208985	13:66205704
rs1460676	ENSG00000182263	FIGN	TRUE	ENSG00000182263	164521508	164598783	2:164567689
rs6465468	ENSG00000005981	ASB4	TRUE	ENSG00000005981;ENSG00000203505	95138755	95170270	7:95169514
