annotation	gene	annotation_value	data	run	cell_cluster	gene_input	hgnc	gene_loadings
aquamarine2	ENSG00000131067	0.5587555103068629	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000027603	Ggt7	-0.189976676038552
aquamarine2	ENSG00000102924	0.5563153415798872	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000031654	Cbln1	-0.189147019533742
aquamarine2	ENSG00000135916	0.5483018422877349	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000026223	Itm2c	-0.18642243260640398
aquamarine2	ENSG00000170382	0.5481853770845809	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000026443	Lrrn2	-0.18638283447848997
aquamarine2	ENSG00000071553	0.544303338582881	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000019087	Atp6ap1	-0.185062942759836
aquamarine2	ENSG00000166922	0.541654351627851	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000023236	Scg5	-0.18416228813128502
aquamarine2	ENSG00000105429	0.5406346657588329	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000045039	Megf8	-0.18381559529617897
aquamarine2	ENSG00000033627	0.53933870465503	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000019302	Atp6v0a1	-0.18337496897888197
aquamarine2	ENSG00000159164	0.49456357190739797	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000038486	Sv2a	-0.168151439668346
aquamarine2	ENSG00000115525	0.49304095329509995	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000056091	St3gal5	-0.16763374987826302
aquamarine2	ENSG00000171951	0.4707104206041311	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000050711	Scg2	-0.16004137665500698
aquamarine2	ENSG00000006007	0.451142135539555	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000033917	Gde1	-0.153388166648538
aquamarine2	ENSG00000087085	0.44169670662947996	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000023328	Ache	-0.150176724157154
blue1	ENSG00000136720	0.6057398804918299	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000045216	Hs6st1	-0.27634018648732206
blue1	ENSG00000105438	0.592231849392038	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000002778	Kdelr1	-0.270177785837455
blue1	ENSG00000182749	0.578342915386582	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000037348	Paqr7	-0.263841616242576
blue1	ENSG00000169925	0.573507609911486	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000026918	Brd3	-0.261635736689746
blue1	ENSG00000167004	0.5653560185073411	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000027248	Pdia3	-0.257916958446251
blue1	ENSG00000117154	0.534002022276204	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000040972	Igsf21	-0.24361317980351102
blue1	ENSG00000013374	0.5309493303122189	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000028954	Nub1	-0.24222053339903302
blue1	ENSG00000183020	0.521255280506496	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000002957	Ap2a2	-0.237798081423515
blue1	ENSG00000107281	0.49354230019929707	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000015094	Npdc1	-0.22515534418126396
blue1	ENSG00000139197	0.49213353180534003	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000005069	Pex5	-0.224512660195545
blue1	ENSG00000176049	0.48631090002715704	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000024502	Jakmip2	-0.221856359688925
blue1	ENSG00000126858	0.43368361938611105	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000017686	Rhot1	-0.197847650645599
blue1	ENSG00000179085	0.428055858690816	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000042737	Dpm3	-0.195280250858778
blue1	ENSG00000143502	0.41986193586777704	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000038576	Susd4	-0.19154216090646597
blue1	ENSG00000156959	0.41462830467303097	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000042873	Lhfpl4	-0.18915456407333703
blue1	ENSG00000130313	0.361752626138485	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000031807	Pgls	-0.165032535233142
blue1	ENSG00000109832	0.36120848893590796	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000032101	Ddx25	-0.16478429835642702
blue1	ENSG00000174915	0.328849570469578	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000025495	Ptdss2	-0.150022071447654
blue1	ENSG00000204564	0.327563692642097	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000050705	2310061I04Rik	-0.149435450473718
blue1	ENSG00000134970	0.314363604834	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000033184	Tmed7	-0.143413534393871
blue1	ENSG00000182256	0.305614162200991	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000055026	Gabrg3	-0.139422014788289
blue1	ENSG00000229833	0.279995741997032	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000087687	Pet100	-0.127734821580993
blue1	ENSG00000136274	0.276147991648833	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000041073	Nacad	-0.125979467371997
cadetblue1	ENSG00000178719	0.669767191354807	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000022564	Grina	-0.24857789133957003
cadetblue1	ENSG00000167680	0.668046427126923	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000001227	Sema6b	-0.247939245629865
cadetblue1	ENSG00000162552	0.636074628231898	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000036856	Wnt4	-0.23607320851392102
cadetblue1	ENSG00000185818	0.603860677304663	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000048142	Nat8l	-0.224117298913436
cadetblue1	ENSG00000105711	0.600529114355389	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000019194	Scn1b	-0.222880820173532
cadetblue1	ENSG00000075043	0.5901057009691889	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000016346	Kcnq2	-0.219012266811189
cadetblue1	ENSG00000139182	0.581302357668212	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000008153	Clstn3	-0.215744987459884
cadetblue1	ENSG00000006210	0.578988198849314	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000031778	Cx3cl1	-0.214886108842281
cadetblue1	ENSG00000273079	0.5739240194391401	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000030209	Grin2b	-0.21300658554613397
cadetblue1	ENSG00000179218	0.565041027742861	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000003814	Calr	-0.20970974543042
cadetblue1	ENSG00000107518	0.563132353988883	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000054843	Atrnl1	-0.20900135884006002
cadetblue1	ENSG00000099625	0.5271726672508711	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000035640	Cbarp	-0.19565525407717102
cadetblue1	ENSG00000105409	0.513260075851973	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000040907	Atp1a3	-0.190491724603577
cadetblue1	ENSG00000177301	0.511459778803061	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000040724	Kcna2	-0.18982356102378398
cadetblue1	ENSG00000100604	0.506145502010909	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000021194	Chga	-0.187851216400101
cadetblue1	ENSG00000107331	0.5034118949180411	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000026944	Abca2	-0.18683666343951003
cadetblue1	ENSG00000100321	0.48950366311587495	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000022415	Syngr1	-0.18167475198987498
cadetblue1	ENSG00000117984	0.4874371579700229	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000007891	Ctsd	-0.180907787739865
cadetblue1	ENSG00000171130	0.47868633352950496	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000039347	Atp6v0e2	-0.17766000027731896
cadetblue1	ENSG00000176884	0.46201247248319394	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000026959	Grin1	-0.171471651142156
cadetblue1	ENSG00000067057	0.448260832556919	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000021196	Pfkp	-0.16636785731729098
cadetblue1	ENSG00000117410	0.447282171246846	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000033379	Atp6v0b	-0.166004636234004
cadetblue1	ENSG00000145685	0.419091687337085	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000045312	Lhfpl2	-0.15554199916162698
chocolate	ENSG00000120885	0.613815373931151	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000022037	Clu	0.29736863738786606
chocolate	ENSG00000147649	0.589270628879175	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000022255	Mtdh	0.28547770454206
chocolate	ENSG00000183087	0.5679421537592111	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000031451	Gas6	0.275144923948174
chocolate	ENSG00000167645	0.541082675680705	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000030588	Yif1b	0.262132596892889
chocolate	ENSG00000168785	0.535856577425523	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000028152	Tspan5	0.259600764385916
chocolate	ENSG00000203667	0.528781369846013	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000026500	Cox20	0.256173113456157
chocolate	ENSG00000100462	0.5231577598982801	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000023110	Prmt5	0.253448702666887
chocolate	ENSG00000163902	0.5128378382724911	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000030062	Rpn1	0.24844911946623102
chocolate	ENSG00000100600	0.50828754327653	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000021190	Lgmn	0.246244686211332
chocolate	ENSG00000198797	0.49875707138072	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000004031	Brinp2	0.24162755936556798
chocolate	ENSG00000132323	0.472152116078068	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000026309	Ilkap	0.228738538265549
chocolate	ENSG00000144647	0.45374080754412704	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000066235	Pomgnt2	0.21981900649135802
chocolate	ENSG00000163956	0.4491185074467	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000029103	Lrpap1	0.217579689687078
chocolate	ENSG00000163703	0.43637337797862796	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000030284	Creld1	0.211405191712256
chocolate	ENSG00000163904	0.395647480434136	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000022855	Senp2	0.19167514718495499
chocolate	ENSG00000004534	0.38419117279760895	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000032582	Rbm6	0.18612503108155398
chocolate	ENSG00000139971	0.37514885897078903	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000036242	3632451O06Rik	0.181744397008651
chocolate	ENSG00000182175	0.19810576410371802	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000070509	Rgma	0.0959742027198109
chocolate	ENSG00000046653	0.0760282026095335	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000031342	Gpm6b	0.0368325786111403
darkgoldenrod	ENSG00000166783	0.6220121529267719	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000060657	Marf1	0.309570232352935
darkgoldenrod	ENSG00000143126	0.580374314006047	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000068740	Celsr2	0.288847429094652
darkgoldenrod	ENSG00000171450	0.562167001684255	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000090071	Cdk5r2	0.279785802437587
darkgoldenrod	ENSG00000123643	0.559433291483702	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000020261	Slc36a1	0.27842525779551
darkgoldenrod	ENSG00000139625	0.528216724000834	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000023050	Map3k12	0.262889033939656
darkgoldenrod	ENSG00000132361	0.5236022691284121	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000020741	Cluh	0.260592458446209
darkgoldenrod	ENSG00000128050	0.52165606343353	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000029247	Paics	0.259623848192637
darkgoldenrod	ENSG00000148090	0.505448158299201	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000021460	Auh	0.251557309725857
darkgoldenrod	ENSG00000134215	0.499442934730276	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000033721	Vav3	0.248568560315068
darkgoldenrod	ENSG00000162929	0.491290782120797	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000042208	0610010F05Rik	0.24451130232482102
darkgoldenrod	ENSG00000050438	0.49032995868197904	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000023032	Slc4a8	0.24403310855673196
darkgoldenrod	ENSG00000166111	0.48759059180727005	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000042078	Svop	0.242669748635365
darkgoldenrod	ENSG00000134121	0.44172102639777006	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000030077	Chl1	0.219840850590637
darkgoldenrod	ENSG00000132718	0.410741093073344	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000068923	Syt11	0.204422397571038
darkgoldenrod	ENSG00000107742	0.397037792430455	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000058297	Spock2	0.19760237975617603
darkgoldenrod	ENSG00000143324	0.336515886673036	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000026469	Xpr1	0.167481134793985
darkolivegreen4	ENSG00000132563	0.6319146151164521	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000038555	Reep2	-0.315278228292904
darkolivegreen4	ENSG00000108797	0.573977414380784	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000017167	Cntnap1	-0.286371889424914
darkolivegreen4	ENSG00000101204	0.559661633709537	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000027577	Chrna4	-0.27922938336683
darkolivegreen4	ENSG00000197043	0.5376142349155151	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000018340	Anxa6	-0.268229376935637
darkolivegreen4	ENSG00000169181	0.534205371834094	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000046182	Gsg1l	-0.266528608687689
darkolivegreen4	ENSG00000107789	0.530295840509681	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000024896	Minpp1	-0.264578044355214
darkolivegreen4	ENSG00000157087	0.492838429056177	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000030302	Atp2b2	-0.245889591774761
darkolivegreen4	ENSG00000171603	0.492050698035883	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000039953	Clstn1	-0.24549657279006198
darkolivegreen4	ENSG00000197106	0.49057039646888395	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000027894	Slc6a17	-0.24475801279442602
darkolivegreen4	ENSG00000154511	0.478872631140283	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000029270	Fam69a	-0.23892170098969298
darkolivegreen4	ENSG00000147676	0.47641146377307797	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000024479	Mal2	-0.237693762169316
darkolivegreen4	ENSG00000123989	0.473272239874584	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000032997	Chpf	-0.236127523748403
darkolivegreen4	ENSG00000182541	0.466138931022868	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000020451	Limk2	-0.232568535045126
darkolivegreen4	ENSG00000125458	0.44439188475340596	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000020736	Nt5c	-0.22171838210606798
darkolivegreen4	ENSG00000067606	0.41829856662200304	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000029053	Prkcz	-0.20869976390361397
darkolivegreen4	ENSG00000144285	0.35208609761285603	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000064329	Scn1a	-0.17566468381410502
darkorange	ENSG00000166126	0.598157542041588	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000021278	Amn	0.248963670965119
darkorange	ENSG00000033100	0.570682009461955	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000038181	Chpf2	0.23752787191224803
darkorange	ENSG00000139220	0.5600405165416961	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000053825	Ppfia2	0.233098695724091
darkorange	ENSG00000157851	0.52465798714033	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000029168	Dpysl5	0.218371865769345
darkorange	ENSG00000147246	0.5236857592410711	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000041380	Htr2c	0.21796720744807999
darkorange	ENSG00000111481	0.516615743605268	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000060992	Copz1	0.21502454281083
darkorange	ENSG00000137285	0.49715529352143495	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000045136	Tubb2b	0.20692476181506
darkorange	ENSG00000166257	0.493042391991854	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000049281	Scn3b	0.20521289998744296
darkorange	ENSG00000182985	0.476930354020966	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000032076	Cadm1	0.198506786901799
darkorange	ENSG00000150625	0.469324086011322	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000031517	Gpm6a	0.19534092461146998
darkorange	ENSG00000185189	0.468405875642774	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000075590	Nrbp2	0.19495874933488297
darkorange	ENSG00000117632	0.441683022800742	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000028832	Stmn1	0.18383622880374498
darkorange	ENSG00000149294	0.434589324566545	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000039542	Ncam1	0.180883707053243
darkorange	ENSG00000115310	0.4305623490359529	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000020458	Rtn4	0.17920760913502398
darkorange	ENSG00000094975	0.40800622330975206	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000040297	Suco	0.169819353585527
darkorange	ENSG00000102189	0.401953767748153	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000036499	Eea1	0.16730021531665898
darkorange	ENSG00000142188	0.388523299549359	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000022964	Tmem50b	0.161710218650999
darkorange	ENSG00000173085	0.35516342981651	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000029319	Coq2	0.14782525516251502
darkorange	ENSG00000137103	0.35320901665327104	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000078716	Tmem8b	0.147011794089966
darkorange	ENSG00000132872	0.351638018678731	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000024261	Syt4	0.14635791715064803
darkorange	ENSG00000047932	0.30691967642361895	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000019861	Gopc	0.12774535797550501
darkorange	ENSG00000166479	0.249011026288355	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000024614	Tmx3	0.10364276107586098
darkorange	ENSG00000138463	0.23813074476055898	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000022848	Dirc2	0.0991141968767895
deeppink2	ENSG00000154310	0.563307443296391	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000027692	Tnik	-0.21921592142113
deeppink2	ENSG00000179364	0.550087684396958	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000021143	Pacs2	-0.214071338897693
deeppink2	ENSG00000170390	0.535135336174203	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000028078	Dclk2	-0.208252504383667
deeppink2	ENSG00000074696	0.533768408023582	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000033629	Hacd3	-0.207720552573655
deeppink2	ENSG00000179195	0.5184780239828229	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000079215	Zfp664	-0.201770168522695
deeppink2	ENSG00000154065	0.49179529253888793	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000057766	Ankrd29	-0.191386354800501
deeppink2	ENSG00000196935	0.488517316365751	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000020121	Srgap1	-0.190110702266983
deeppink2	ENSG00000132388	0.47910516292095795	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000020794	Ube2g1	-0.18644788205306304
deeppink2	ENSG00000108443	0.476578570138448	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000020516	Rps6kb1	-0.185464636808454
deeppink2	ENSG00000006451	0.456965372709279	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000008859	Rala	-0.177831992863099
deeppink2	ENSG00000100243	0.436232045963616	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000018042	Cyb5r3	-0.16976344099011403
deeppink2	ENSG00000158560	0.424261119491795	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000029757	Dync1i1	-0.16510485231351402
